[INPUT1],[INPUT2],[INPUT3],[INPUT4],[OPTION1],[OPTION2],[ANSWER]
Johnson tidak pernah terlalu suka berada di luar ruangan.,Kekasihnya menggodanya bahwa dia tidak akan pernah dapat pergi berkemah.,Johnson putuskan untuk membuktikan dia salah.,Dia mengemas tenda dan pergi berkemah selama akhir pekan panjang.,"Dia mengalami akhir pekan yang buruk, tetapi mengatakan pada kekasihnya bahwa itu menyenangkan.",Johnson adalah penyuka luar ruangan akut dan sering hiking.,0
Jim kehilangan dompet yang berisi semua uangnya.,Dia tidak lagi punya uang untuk makan keluarganya sampai bulan depan.,"Sementara itu, Pete menemukan sebuah dompet tergeletak di pinggiran tempat parkir.",Itu berisi ratusan dolar dan Pete sangat menginginkan TV baru.,Pete menyimpan dompet itu dan mendonasikan uangnya untuk amal.,"Jadi, Pete menyimpan dompet dan membeli TV baru dengan uang itu.",1
Sally punya kakak perempuan yang mahir dalam segalanya.,Suatu hari dia berkata pada kakaknya Mary bahwa dia merasa minder.,Mary menertawakannya dan mengatakan bahwa dia juga punya banyak kelebihan.,Sally melihat dirinya secara berbeda.,Sally menganggap kakaknya kejam.,Sally merasa lebih baik.,1
Aku harus membawa anakku ke UGD musim panas ini.,Dia bermain sepak bola bersama teman-temannya dan kepalanya kena.,Alisnya terluka dan kami khawatir wajahnya retak.,"Untunglah, tidak ada keretakan.",Anakku meninggal dan kami menguburnya di pemakaman.,Dia punya parut dari jahitannya.,1
Lorelei kecil berusia delapan bulan dan sedang tumbuh gigi.,Ibunya telah mencoba segalanya untuk menenangkannya.,"Dia sudah mencoba mainan gigit, obat-obatan, dan teh penenang yang lembut.",Dalam upaya terakhirnya dia memberinya biskuit gigit.,Lorelei menjadi tenang setelah mendapat biskuit gigit.,Lorelei memilih untuk mencari bunga.,0
Aku berada di taman beberapa hari kemarin.,Aku berjalan di dekat danau dan melihat beberapa ekor bebek.,Kuputuskan melempar roti untuk mereka.,Mereka mengejarku dengan marah.,Bebek-bebek itu sangat menyukaiku.,Aku melarikan diri dari bebek-bebek itu.,1
Graham ingin membeli tongkat selfie.,Dia tidak punya banyak teman tetapi suka mengambil foto.,Akhirnya dia putuskan untuk membelinya.,Dia menggunakannya beberapa kali lalu melupakannya.,Dia menggunakan tongkat selfie setiap hari setelah itu.,Akhirnya dia membuangnya.,1
Lewis sangat mengenal gua itu.,Lima penjelajah gua pemula berjalan di belakangnya.,"Tiba-tiba, beberapa kelelawar terbang turun dari kegelapan di atas.",Semua orang kecuali Lewis berlari kembali ke mulut gua.,Lewis mulai menari.,Lewis tertawa dan mengatakan pada mereka untuk tidak takut pada kelelawar.,1
Sean dan Sara akan membeli sebuah gitar.,Sean menjemput Sara dan mereka pergi ke toko.,"Di sana, mereka bermain dengan sejumlah gitar berbeda.",Sara memilih favoritnya dan mereka membawanya ke kasir.,Sara melakukan pembelian dengan antusias.,Sara putuskan untuk membeli Viola saja.,0
Chris tidak ingin pergi sekolah di hari Jumat.,Akan ada ujian sulit yang tidak siap dia ikuti.,Saat hendak tidur di hari Kamis dia khawatir.,Saat dia bangun di hari Jumat pagi turun salju setebal nyaris satu kaki!,Bill mulai bersiap ke sekolah.,Bill merasa lega.,1
Martha tidak pandai memasak dan pacarnya tahu itu.,Dia memperkenalkannya ke acara memasak dan menonton bersamanya.,Dia melatih apa yang dia pelajari di acara tersebut.,Seiring hari masakannya mulai perlahan jadi lebih baik.,Martha menjadi penjahit ahli setelah beberapa waktu.,"Setelah beberapa waktu, semuanya yang Martha masak jadi lezat.",1
Ada kucing liar yang menyukai kucingku.,Dia datang menemuinya setiap hari.,"Akhirnya aku memelihara dan mengizinkannya masuk, dan menamainya Tokyo.",Tiba-tiba dia sakit keras.,Kedua kucing sangat sehat.,Aku membawanya ke dokter hewan untuk mengobatinya dan dia jadi lebih baik.,1
Sebuah kantor di tengah kota memiliki karpet merah.,Staf kantor mengeluh itu selalu kotor.,Namun tak satu pun penyedot debu mereka mampu membersihkannya dengan baik.,Jadi mereka menyewa pembersih karpet profesional.,Hasilnya jadi lebih kotor dibandingkan sebelumnya.,Karpet itu tampak nyaris seperti baru setelah dibersihkan.,1
Lexi ingin sehat.,Namun dia menginginkan cokelat panas.,Jadi dia putuskan tidak menambahkan gula.,Cokelat panas itu rasanya membosankan.,Menjadi sehat tidak selalu menyenangkan.,Dia menyukai donat yang dia makan.,0
Anna menginginkan sayap ayam.,Dia mengendarai mobilnya hingga ke Buffalo.,"Di sana, dia menemukan restoran sayap yang autentik.",Dia memesan dua belas sayap ayam pedas.,Anna menyantap semua sayap saat dia berkendara pulang.,Anna senang dengan makanannya lasagna.,0
Saudaraku terus berebut remote denganku minggu kemarin.,Akhirnya dia putuskan berbagi pemakaiannya.,Masing-masing kami dapat memilikinya selama satu hari.,Saudaraku lalu terlibat pertengkaran untuk siapa yang bisa memilikinya di hari pertama.,Aku tidak pernah menonton televisi bersama saudaraku.,Aku setuju membiarkan saudaraku menggunakan remote lebih dulu.,1
Ivy menerbangkan pesawat wisata kecil.,Tiba-tiba sang pilot membuat pengumuman.,Pesawat memiliki masalah kemudi dan akan jatuh!,Ivy dengan cepat memasang posisi pendaratan.,"Saat pesawat tiba-tiba terkoreksi, Ivy merasa lega.",Ivy senang dia memilih terbang.,0
Joey adalah siswa kelas dua yang suka mewarnai buku warna.,Dia sering menggunakan hampir semua krayonnya hingga dia hanya punya cokelat dan hitam.,Orangtuanya mengira Joey adalah seorang seniman karena warnanya yang ganjil.,Mereka menggantung karyanya di lemari es agar dapat dilihat semua orang.,Joey merasa bangga dengan dirinya.,Joey berharap orangtuanya mengapresiasinya.,0
"John akan melakukan presentasi klien besar besok, namun dia merasa tidak siap.",Bukannya dia gugup berpresentasi.,John selalu merasa nyaman di depan orang banyak.,Namun konten ini kurang terasah dan perlu perbaikan.,John memutuskan membawa bagel ke kantor.,"John merevisi presentasinya, dan sukses besar.",1
Fred putuskan bermain lotre.,Dia suka bermain namun tidak pernah menang.,Kemarin dia membeli dua tiket.,Saat pulang ke rumah dia mendapat kabar gembira.,Fred tidak menang lotre.,Fred memenangkan lotre.,1
Gina menggunakan kamar kecil di pom bensin.,"Dia pergi untuk mencuci tangan, namun tidak ada sabun.",Dia mencari di kabinet di bawah wastafel berharap untuk menemukannya.,Di situ juga tidak ada sabun.,Gina mencuri semua sabun yang ada di kamar mandi.,Jadi dia harus puas membilas tangannya.,1
"Saat tiba waktunya makan, Ibu membunyikan bel.",Ayah dan Bill kenal suara itu saat mereka mendengarnya.,"Mereka menghentikan pekerjaannya di pekarangan, dengan hati-hati, dan mencuci tangan mereka.",Ibu senang mereka akhirnya tiba di rumah.,Dia lalu berteriak agar mereka kembali bekerja.,"Keluarga itu duduk, dan menikmati makanan bersama.",1
Ayah Emmy mengajaknya memilih anak kucing.,Ada dua ekor bersama dalam sebuah kandang.,Dia tidak sanggup memisahkan mereka!,Dia jadi sedih harus memilih.,"Lalu, ayah Emmy berkata dia boleh memelihara kedua anak kucing.",Emmy pergi dengan marah karena menginginkan seekor anjing.,0
Jill kuliah di perguruan tinggi.,Jill belajar dengan sangat tekun.,Jill lulus dari semua tes yang ditempuhnya.,Jill mendapatkan ijasahnya.,Jill mendapatkan pekerjaan yang baik.,Jill sering memakan lima butir kacang.,0
Jerry selalu ingin belajar cara bermain gitar.,Dia khawatir bahwa dia terlalu tua untuk mempelajari sesuatu yang baru.,"Namun, dia memutuskan untuk mendaftar pada kelas belajar gitar mingguan.",Akhirnya dia menjadi pemain gitar yang cukup baik.,Jerry memutuskan untuk bermain gitar untuk teman-temannya.,Jerry membuang gitarnya ke tumpukan sampah.,0
Kyle mengumpulkan banyak barang.,Dia memiliki banyak koleksi boneka aksi.,"Setiap hari, dia pergi mencari boneka baru untuk koleksinya.",Dia berusaha menambah boneka baru sekitar sebulan sekali.,Kyle benar-benar menyukai pahlawan Marvel.,Kyle mengganggap Superman sosok konyol.,0
Francine memperhatikan bahwa semua temannya mengenakan sepatu berhak tinggi.,"Meskipun menyukai penampilan sepatu berhak tinggi, dia tidak menyukai rasa ketika memakainya.",Suatu hari dia memutuskan untuk memakai sepatu datar untuk menemui teman-temannya.,Semua temannya memuji betapa bagusnya sepatu datar tersebut.,Francine senang dia memakai sepatu yang nyaman!,Francine menguji ulang rumus untuk genom yang hilang.,0
"Ketika muda, saya menyukai permainan petak umpet.",Saya memainkannya bahkan ketika orang lain tidak tahu.,Saya bersembunyi lalu melompat ke arah orang-orang.,"Saya sering melakukan ini di sekolah dasar,","Ketika umur bertambah, saya harus berhenti melompat ke arah orang-orang.",Orang-orang sangat senang ketika saya memainkan ini tanpa mereka.,0
Rachel melihat ke arah tumpukan surat hariannya.,Dia menemukan surat yang ditulis dalam bahasa asing.,Rachel memperlihatkan surat itu kepada teman-temannya.,Tidak ada yang bisa membaca atau memahami surat itu.,Rachel tidak ingin mengetahui isi surat itu.,Rachel membawanya ke seorang profesor bahasa untuk mendapatkan terjemahannya.,1
Deb dipecat dari pekerjaannya karena pemotongan biaya.,Dia merasa sangat kecewa dan pulang dengan mendongkol.,"Suaminya mengatakan kepadanya bahwa semua akan baik-baik saja, tetapi Deb tidak yakin.","Besoknya, suami Deb mempersiapkan untuknya wawancara di tempat kerja sang suami.",Deb pergi mengerjakan pekerjaan sama yang telah dilakukannya bertahun-tahun.,Dia mendapatkan pekerjaan itu.,1
Bethany sadar diri tentang rambut lengannya.,Dia mencoba mencukurnya.,Rambut itu tumbuh lagi hanya dalam beberapa minggu.,Dia mendapatkan perawatan pembuangan rambut laser.,Dia berharap rambut lengannya tumbuh lagi.,Dia merasa lebih baik.,1
Kedua orang tua Gina mengendarai mobil menuju Illinois.,Gina duduk di kursi belakang terjepit di antara saudara-saudara kandungnya.,"Parahnya lagi, saat itu jam sibuk.",Lalu lintas merayap pelan.,Gina keluar dan berjalan pulang.,Gina menutup matanya dan berusaha keras untuk tidur.,1
"Pada suatu musim panas, aku dan saudara perempuanku mendirikan stan limun.",Saat itu merupakan bulan pertama di rumah baru dan kami tidak mengenal siapa pun.,Hanya beberapa orang yang melintas dan lebih sedikit lagi yang berhenti.,Pastur tua berjalan dari rumah sebelah.,Dia memberi limun dan membuat kami merasa disambut baik di lingkungan ini.,Dia menuangkan limun kami ke tanah.,0
Bob pindah dari kota kecil ke kota besar.,Dia khawatir bahwa dia akan selalu tersesat.,Pada hari pertama dia tersesat ketika mencoba pulang dari tempat kerja.,Kemudian Bob membeli sistem navigasi untuk membantunya mengetahui jalur pulangnya.,Bob mengetahui jalur pulangnya dan tidak pernah menggunakan sistem navigasi.,Sistem navigasi tersebut banyak membantu Bob.,1
Kelly membaca tentang hewan hibrida secara daring.,Dan dia melihat gambar simau.,Dia terkesan dengan ukuran dan kekuatan hewan tersebut.,Tapi dia bertanya-tanya apakah mereka dapat hidup di alam liar.,Kelly hanya pernah melihat mereka di kebun binatang.,Kelly ingat ketika neneknya memperlihatkan bunga kepadanya.,0
Jorie pergi dengan keluarganya untuk mengunjungi rumah Anne Frank di Amsterdam.,Dia sudah membaca bukunya sebelumnya.,Dia menyangka rumahnya agak kecil.,Ibunya menangis ketika melihat-lihat isi museum.,Jorie mengakui tur itu amat emosional.,Mereka memutuskan untuk mengunjungi klub komedi di lantai atas.,0
Clara pulang dari tempat kerja suatu hari.,Kemudian dia menyadari bahwa dia telah terkunci di luar!,Kuncinya tertinggal di meja dapur paginya.,Dia terpaksa menelepon ibunya untuk meminta bantuan.,Clara sedang berada di luar.,Ibu Clara segera membantu.,1
Besok harinya aku sedikit membersihkan apartemen.,Aku memutuskan untuk menyingkirkan semua tumpukan barang tidak berguna dan kertas di atas meja.,Di bawah itu sama ada surat lama dari pacarku.,Surat itu menyebutkan dia ingin putus dariku.,Aku marah dan bingung karena surat itu.,Aku merasa sangat senang karena surat itu.,0
Ben menikah dengan pacarnya di sekolah lanjutan.,Mereka berumah tangga selama bertahun-tahun.,Suatu hari Ben menyadari bahwa dia tidak bahagia dengan pernikahannya.,Dia memutuskan untuk selingkuh.,Istrinya bangga terhadapnya.,Istrinya mengetahui dan mereka bercerai.,1
Seorang pria bertaruh kepada pria yang lain bahwa dia dapat memandang lebih lama daripada seekor bebek.,Seekor bebek ditemukan dan dipandangi.,"Meskipun tidak menyadari apa yang terjadi, sang bebek tidak berkedip.","Namun, dia membasahi matanya dengan selaput pengelip.",Pria tersebut akhirnya berkedip.,Pria itu ingin kalah taruhan.,0
Shay pergi ke taman di tepi pantai.,Di sana dia melihat papan yang mengiklankan lumba-lumba berenang.,Dengan antusias dia menyerahkan uang 40 dolarnya dan memakai pakaian renang.,Kemudian dia melompat ke dalam kolam dengan para lumba-lumba tersebut.,Shay merasa amat gembira.,Shay benar-benar tidak menyukai lumba-lumba.,0
Lia pergi ke Inggris.,Dia mengikuti tur dengan bus.,Tur tersebut berhenti di Stonehenge.,Lia keluar dari bus untuk melihat-lihat.,Lia benci pergi ke Inggris.,Lia mengambil banyak foto Stonehenge.,1
Aku meminum segelas jus.,Cangkirku menumpahi konter.,Aku mencari sesuatu untuk membersihkan tumpahan itu.,Aku menemukan setumpuk serbet kertas.,Aku menyeka tumpahan kotor itu.,Aku meninggalkan tumpahan kotor itu dan membuat sandwich.,0
Arthur dan teman-temannya nongkrong.,Mereka meminum bir dan mengobrol.,Bir mendadak habis.,Arthur tidak ingin mengambil gelas bir yang terakhir.,"Namun, Arthur merasa senang mengambil gelas bir yang terakhir.",Arthur memesan beberapa gelas bir lagi untuk teman-temannya.,1
Hester selalu senang melihat rambutnya tampak lurus.,Suatu hari dia diundang untuk menghadiri pembukaan galeri seni.,Dia memutuskan untuk meluruskan rambutnya untuk acara itu.,Semua temannya memuji bahwa rambutnya amat bagus.,Hester bangga dengan penampilannya.,Hester mencukur kepalanya.,0
Jill ingin membeli mobil baru.,Jill mengemudikan mobilnya ke dealer mobil.,Penjual mobil menukar mobil lama Jill dengan mobil baru.,"Setelah membayar kepada sang penjual, Jill mendapatkan mobil barunya.",Jill merasa amat senang.,Jill merasa depresi.,0
Jaden agak pelupa.,Dia tidak memperhatikan bahwa Hari Valentine sudah tiba.,"Dengan terburu-buru, dia keluar dan membeli bunga dan cokelat.",Pacar Jaden pulang dan melihat traktiran tersebut.,Pacar Jaden menampar wajahnya.,Jaden telah menyelamatkan hari itu.,1
John mendapatkan sepeda sebagai hadiah ulang tahunnya.,Dia tidak tahu cara mengendarai sepeda.,Dia praktik seminggu penuh,Pada akhir minggu dia melepas roda latihan.,Dia dapat menaiki sepeda dengan baik tanpa roda latihan.,"Dia menyadari mengendarai sepeda bukan untuknya, dan malahan tidur sebentar.",0
Quentin tidak pernah menaiki perahu selama hidupnya.,Pada suatu musim panas seorang teman mengundang Quentin ke rumah di dekat danaunya.,"Ketika mereka di sana, Quentin dan temannya berlayar.",Itu adalah pengalaman yang menyenangkan.,Quentin senang dia pergi.,Quentin bersumpah tidak akan pernah berlayar lagi.,0
Seorang pria memesan panekuk dalam kantin dari pelayan.,Dia membawakan pria itu sepiring panekuk beberapa menit kemudian.,Pria itu mengeluh bahwa panekuknya terlalu tebal.,Pelayan itu mengembalikannya ke koki.,Sang koki memuji pria itu.,Sang koki memutuskan untuk mengolah panekuk tersebut.,1
Anak-anakku ingin memiliki hewan peliharaan.,Sebagai keluarga kami memutuskan bahwa ini ide bagus.,Kami pergi ke penampungan hewan setempat untuk menemukan teman berbulu baru kami.,"Setelah tiba, kami bertemu anjing labrador hitam yang otomatis kami semua sukai.",Kami memutuskan labrador hitam itu tidak boleh pulang bersama kami.,Kami mengadopsi labrador hitam itu dan membawanya pulang.,1
Bunga-bunga tamanku hampir mati.,Bunga-bunga itu menjadi layu dan kering karena matahari.,Temanku mampir untuk membantu mengevaluasi apa yang salah dengan tumbuhanku.,Dia menemukan tumbuhan-tumbuhan itu perlu lebih banyak air.,Setelah lebih sering mengairinya. tumbuhanku tampak lebih baik.,Aku tidak mengairi tumbuhan-tumbuhan itu lagi.,0
Jill bermain permainan video dengan saudara perempuannya.,Jill marah karena selalu kalah dalam setiap permainan.,Jill mengambil pengontrol permainan dan melemparkannya ke arah televisi.,Layar televisi retak tepat di tengah-tengahnya.,Jill dan saudara perempuannya tidak lagi dapat memainkan permainan video.,Jill makin baik dalam permainan video.,0
"Saya mulai menonton rangkaian episode ""Buffy the Vampire Slayer"".","Beberapa jam kemudian, saya rasanya seperti berlari.","Sayangnya, di luar gelap.",Saya berdiri di pintu sejenak.,"Kemudian, saya tertidur sampai keesokan pagi.",Kemudian saya membayangkan bahwa saya Buffy dan pergi berlari.,1
"Di usia 12 tahun, Drew memutuskan menjadi kriminal.",Ia meyakinkan dirinya untuk menendang pintu dan merampok rumah-rumah.,Ia berlatih menendang pintu lemari supaya kuat.,Ibunya pulang ke rumah dan mendapati semua pintu lemari rusak.,Drew selalu ingin mematuhi hukum.,Ibunya sangat marah.,1
"Selama beberapa lama, setiap saya merebus telur, selalu saja hasilnya jelek.",Saya mengamati internet mencari solusi atas permasalahan saya.,Sebuah situs web menyarankan saya memanggang telur tersebut ketimbang merebusnya.,Saya melakukan sesuai yang diminta.,Telur panggang tersebut luar biasa.,"Saya tidak mengupasnya, dan memakannya utuh.",0
Seorang bocah laki-laki melihat uang logam di trotoar.,Ia membungkuk dan memungutnya.,"Saat ia melakukan itu, kepalanya kena timpukan bola kertas.","Melihat ke sekeliling, ia mendapati musuhnya sedang memegang sedotan.",Anak tersebut bersyukur.,Anak tersebut marah.,1
